,MeSH Unique ID,MeSH Heading,ScopeNote,MeSHBrowserLink
0,D001170,"Arthritis, Infectious",Arthritis caused by BACTERIA; RICKETTSIA; MYCOPLASMA; VIRUSES; FUNGI; or PARASITES.,https://meshb.nlm.nih.gov/record/ui?ui=D001170
1,D007596,Joints,"Also known as articulations, these are points of connection between the ends of certain separate bones, or where the borders of other bones are juxtaposed.",https://meshb.nlm.nih.gov/record/ui?ui=D007596
2,D006225,Hand,"The distal part of the arm beyond the wrist in humans and primates, that includes the palm, fingers, and thumb.",https://meshb.nlm.nih.gov/record/ui?ui=D006225
3,D014947,Wounds and Injuries,Injuries that occur as a result of participation in a research study.,https://meshb.nlm.nih.gov/record/ui?ui=D014947
4,D006259,Craniocerebral Trauma,"Traumatic injuries involving the cranium and intracranial structures (i.e., BRAIN; CRANIAL NERVES; MENINGES; and other structures). Injuries may be classified by whether or not the skull is penetrated (i.e., penetrating vs. nonpenetrating) or whether there is an associated hemorrhage.",https://meshb.nlm.nih.gov/record/ui?ui=D006259
5,D014193,Trauma Centers,Specialized hospital facilities which provide diagnostic and therapeutic services for trauma patients.,https://meshb.nlm.nih.gov/record/ui?ui=D014193
6,D001963,Bromelains,Gel dressing used for debridement (cleaning) of deep burns in hospitalized patients.,https://meshb.nlm.nih.gov/record/ui?ui=D001963
7,D012421,Rupture,Forcible or traumatic tear or break of an organ or other soft part of the body.,https://meshb.nlm.nih.gov/record/ui?ui=D012421
8,D006341,Heart Rupture,"Disease-related laceration or tearing of tissues of the heart, including the free-wall MYOCARDIUM; HEART SEPTUM; PAPILLARY MUSCLES; CHORDAE TENDINEAE; and any of the HEART VALVES. Pathological rupture usually results from myocardial infarction (HEART RUPTURE, POST-INFARCTION).",https://meshb.nlm.nih.gov/record/ui?ui=D006341
9,D017542,"Aneurysm, Ruptured","The tearing or bursting of the weakened wall of the aneurysmal sac, usually heralded by sudden worsening pain. The great danger of a ruptured aneurysm is the large amount of blood spilling into the surrounding tissues and cavities, causing HEMORRHAGIC SHOCK.",https://meshb.nlm.nih.gov/record/ui?ui=D017542
10,D014597,Uterine Rupture,"A complete separation or tear in the wall of the UTERUS with or without expulsion of the FETUS. It may be due to injuries, multiple pregnancies, large fetus, previous scarring, or obstruction.",https://meshb.nlm.nih.gov/record/ui?ui=D014597
11,D013275,Stomach Rupture,Bursting of the STOMACH.,https://meshb.nlm.nih.gov/record/ui?ui=D013275
12,D045888,Ganglion Cysts,"Nodular tumor-like lesions or mucoid flesh, arising from tendon sheaths, LIGAMENTS, or JOINT CAPSULE, especially of the hands, wrists, or feet. They are not true cysts as they lack epithelial wall. They are distinguished from SYNOVIAL CYSTS by the lack of communication with a joint cavity or the SYNOVIAL MEMBRANE.",https://meshb.nlm.nih.gov/record/ui?ui=D045888
13,D013136,Spiral Ganglion,The sensory ganglion of the COCHLEAR NERVE. The cells of the spiral ganglion send fibers peripherally to the cochlear hair cells and centrally to the COCHLEAR NUCLEI of the BRAIN STEM.,https://meshb.nlm.nih.gov/record/ui?ui=D013136
14,D018303,Ganglioglioma,Rare indolent tumors comprised of neoplastic glial and neuronal cells which occur primarily in children and young adults. Benign lesions tend to be associated with long survival unless the tumor degenerates into a histologically malignant form. They tend to occur in the optic nerve and white matter of the brain and spinal cord.,https://meshb.nlm.nih.gov/record/ui?ui=D018303
15,D005724,Ganglia,Clusters of multipolar neurons surrounded by a capsule of loosely organized CONNECTIVE TISSUE located outside the CENTRAL NERVOUS SYSTEM.,https://meshb.nlm.nih.gov/record/ui?ui=D005724
16,D013233,Stellate Ganglion,A paravertebral sympathetic ganglion formed by the fusion of the inferior cervical and first thoracic ganglia.,https://meshb.nlm.nih.gov/record/ui?ui=D013233
17,D003560,Cysts,"Any fluid-filled closed cavity or sac that is lined by an EPITHELIUM. Cysts can be of normal, abnormal, non-neoplastic, or neoplastic tissues.",https://meshb.nlm.nih.gov/record/ui?ui=D003560
18,D001845,Bone Cysts,Benign unilocular lytic areas in the proximal end of a long bone with well defined and narrow endosteal margins. The cysts contain fluid and the cyst walls may contain some giant cells. Bone cysts usually occur in males between the ages 3-15 years.,https://meshb.nlm.nih.gov/record/ui?ui=D001845
19,D004204,Joint Dislocations,Partial or incomplete displacement of an articulation.,https://meshb.nlm.nih.gov/record/ui?ui=D004204
20,D016267,External Fixators,"External devices which hold wires or pins that are placed through one or both cortices of bone in order to hold the position of a fracture in proper alignment. These devices allow easy access to wounds, adjustment during the course of healing, and more functional use of the limbs involved.",https://meshb.nlm.nih.gov/record/ui?ui=D016267
21,D013812,Therapeutics,Procedures concerned with the remedial treatment or prevention of diseases.,https://meshb.nlm.nih.gov/record/ui?ui=D013812
22,D019233,Retreatment,"The therapy of the same disease in a patient, with the same agent or procedure repeated after initial treatment, or with an additional or alternate measure or follow-up. It does not include therapy which requires more than one administration of a therapeutic agent or regimen. Retreatment is often used with reference to a different modality when the original one was inadequate, harmful, or unsuccessful.",https://meshb.nlm.nih.gov/record/ui?ui=D019233
23,D015199,Extracorporeal Membrane Oxygenation,"Application of a life support system that circulates the blood through an oxygenating system, which may consist of a pump, a membrane oxygenator, and a heat exchanger. Examples of its use are to assist victims of SMOKE INHALATION INJURY; RESPIRATORY FAILURE; and CARDIAC FAILURE.",https://meshb.nlm.nih.gov/record/ui?ui=D015199
24,D017048,Health Care Costs,"The actual costs of providing services related to the delivery of health care, including the costs of procedures, therapies, and medications. It is differentiated from HEALTH EXPENDITURES, which refers to the amount of money paid for the services, and from fees, which refers to the amount charged, regardless of cost.",https://meshb.nlm.nih.gov/record/ui?ui=D017048
25,D018508,Water Purification,Processes used to make water more acceptable for a desired end-use,https://meshb.nlm.nih.gov/record/ui?ui=D018508
26,D000071826,Distracted Driving,Behavior which detracts from the focus necessary to operate an automobile safely.,https://meshb.nlm.nih.gov/record/ui?ui=D000071826
27,D014143,Traction,"The pull on a limb or a part thereof. Skin traction (indirect traction) is applied by using a bandage to pull on the skin and fascia where light traction is required. Skeletal traction (direct traction), however, uses pins or wires inserted through bone and is attached to weights, pulleys, and ropes. (From Blauvelt & Nelson, A Manual of Orthopaedic Terminology, 5th ed)",https://meshb.nlm.nih.gov/record/ui?ui=D014143
28,D003949,"Diagnostic Techniques, Surgical",Methods and procedures for the diagnosis of disease or dysfunction by examination of the pathological site or operative field during surgical intervention.,https://meshb.nlm.nih.gov/record/ui?ui=D003949
29,D000079664,Continuous Renal Replacement Therapy,"Procedures with continuous blood purification (e.g., dialysis, filtration or perfusion) via vascular access designed to mimic kidney function in kidney diseases (e.g., ACUTE RENAL FAILURE and poisoning).",https://meshb.nlm.nih.gov/record/ui?ui=D000079664
30,D058106,Wound Closure Techniques,Methods to repair breaks in tissue caused by trauma or to close surgical incisions.,https://meshb.nlm.nih.gov/record/ui?ui=D058106
