,MeSH Unique ID,MeSH Heading,ScopeNote,MeSHBrowserLink
0,D016867,Immunocompromised Host,A human or animal whose immunologic mechanism is deficient because of an immunodeficiency disorder or other disease or as the result of the administration of immunosuppressive drugs or radiation.,https://meshb.nlm.nih.gov/record/ui?ui=D016867
1,D010361,Patients,"Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.",https://meshb.nlm.nih.gov/record/ui?ui=D010361
2,D028642,Mentally Ill Persons,"Persons with psychiatric illnesses or diseases, particularly psychotic and severe mood disorders.",https://meshb.nlm.nih.gov/record/ui?ui=D028642
3,D007297,Inpatients,"Persons admitted to health facilities which provide board and room, for the purpose of observation, care, diagnosis or treatment.",https://meshb.nlm.nih.gov/record/ui?ui=D007297
4,D012306,Risk,The probability that an event will occur. It encompasses a variety of measures of the probability of a generally unfavorable outcome.,https://meshb.nlm.nih.gov/record/ui?ui=D012306
5,D016017,Odds Ratio,The ratio of two odds. The exposure-odds ratio for case control data is the ratio of the odds in favor of exposure among cases to the odds in favor of exposure among noncases. The disease-odds ratio for a cohort or cross section is the ratio of the odds in favor of disease among the exposed to the odds in favor of disease among the unexposed. The prevalence-odds ratio refers to an odds ratio derived cross-sectionally from studies of prevalent cases.,https://meshb.nlm.nih.gov/record/ui?ui=D016017
6,D012307,Risk Factors,"An aspect of personal behavior or lifestyle, environmental exposure, inborn or inherited characteristic, which, on the basis of epidemiological evidence, is known to be associated with a health-related condition considered important to prevent.",https://meshb.nlm.nih.gov/record/ui?ui=D012307
7,D040242,Risk Reduction Behavior,Reduction of high-risk choices and adoption of low-risk quantity and frequency alternatives.,https://meshb.nlm.nih.gov/record/ui?ui=D040242
8,D007239,Infections,Invasion of the host organism by microorganisms or their toxins or by parasites that can cause pathological conditions or diseases.,https://meshb.nlm.nih.gov/record/ui?ui=D007239
9,D001419,Bacteria,"One of the three domains of life (the others being Eukarya and ARCHAEA), also called Eubacteria. They are unicellular prokaryotic microorganisms which generally possess rigid cell walls, multiply by cell division, and exhibit three principal forms: round or coccal, rodlike or bacillary, and spiral or spirochetal. Bacteria can be classified by their response to OXYGEN: aerobic, anaerobic, or facultatively anaerobic; by the mode by which they obtain their energy: chemotrophy (via chemical reaction) or PHOTOTROPHY (via light reaction); for chemotrophs by their source of chemical energy: CHEMOLITHOTROPHY (from inorganic compounds) or chemoorganotrophy (from organic compounds); and by their source for CARBON; NITROGEN; etc.; HETEROTROPHY (from organic sources) or AUTOTROPHY (from CARBON DIOXIDE). They can also be classified by whether or not they stain (based on the structure of their CELL WALLS) with CRYSTAL VIOLET dye: gram-negative or gram-positive.",https://meshb.nlm.nih.gov/record/ui?ui=D001419
10,D000069196,Gastrointestinal Microbiome,All of the microbial organisms that naturally exist within the GASTROINTESTINAL TRACT.,https://meshb.nlm.nih.gov/record/ui?ui=D000069196
11,D001428,Bacterial Vaccines,Suspensions of attenuated or killed bacteria administered for the prevention or treatment of infectious bacterial disease.,https://meshb.nlm.nih.gov/record/ui?ui=D001428
12,D001437,Bacteriuria,The presence of bacteria in the urine which is normally bacteria-free. These bacteria are from the URINARY TRACT and are not contaminants of the surrounding tissues. Bacteriuria can be symptomatic or asymptomatic. Significant bacteriuria is an indicator of urinary tract infection.,https://meshb.nlm.nih.gov/record/ui?ui=D001437
13,D005798,"Genes, Bacterial",The functional hereditary units of BACTERIA.,https://meshb.nlm.nih.gov/record/ui?ui=D005798
14,D005658,Fungi,"Multicellular fungi that are commonly referred to as molds, containing branching tubular structures (HYPHAE) that form a mass of intertwining strands (MYCELIUM).",https://meshb.nlm.nih.gov/record/ui?ui=D005658
15,D035002,Lower Extremity,"The region of the lower limb in animals, extending from the gluteal region to the FOOT, and including the BUTTOCKS; HIP; and LEG.",https://meshb.nlm.nih.gov/record/ui?ui=D035002
16,D010264,Paraplegia,"Severe or complete loss of motor function in the lower extremities and lower portions of the trunk. This condition is most often associated with SPINAL CORD DISEASES, although BRAIN DISEASES; PERIPHERAL NERVOUS SYSTEM DISEASES; NEUROMUSCULAR DISEASES; and MUSCULAR DISEASES may also cause bilateral leg weakness.",https://meshb.nlm.nih.gov/record/ui?ui=D010264
17,D005121,Extremities,"The farthest or outermost projections of the body, such as the HAND and FOOT.",https://meshb.nlm.nih.gov/record/ui?ui=D005121
18,D050281,Bones of Lower Extremity,The bones of the upper and lower LEG. They include the PELVIC BONES.,https://meshb.nlm.nih.gov/record/ui?ui=D050281
19,D010291,Paresis,"A general term referring to a mild to moderate degree of muscular weakness, occasionally used as a synonym for PARALYSIS (severe or complete loss of motor function). In the older literature, paresis often referred specifically to paretic neurosyphilis (see NEUROSYPHILIS). ""General paresis"" and ""general paralysis"" may still carry that connotation. Bilateral lower extremity paresis is referred to as PARAPARESIS.",https://meshb.nlm.nih.gov/record/ui?ui=D010291
20,D058028,Research Report,Detailed account or statement or formal record of the proceedings of a meeting or session. May also document status or progress of an activity or research project.,https://meshb.nlm.nih.gov/record/ui?ui=D058028
21,D014573,"Urology Department, Hospital",Hospital department responsible for the administration and provision of diagnostic and therapeutic services for the urologic patient.,https://meshb.nlm.nih.gov/record/ui?ui=D014573
22,D019727,Proxy,"A person authorized to decide or act for another person, for example, a person having durable power of attorney.",https://meshb.nlm.nih.gov/record/ui?ui=D019727
24,D005791,Patient Care,Care rendered by non-professionals.,https://meshb.nlm.nih.gov/record/ui?ui=D005791
25,D000070659,Patient Comfort,Patient care intended to prevent or relieve suffering in conditions that ensure optimal quality living.,https://meshb.nlm.nih.gov/record/ui?ui=D000070659
26,D064406,Patient Harm,"A measure of PATIENT SAFETY considering errors or mistakes which result in harm to the patient. They include errors in the administration of drugs and other medications (MEDICATION ERRORS), errors in the performance of procedures or the use of other types of therapy, in the use of equipment, and in the interpretation of laboratory findings and preventable accidents involving patients.",https://meshb.nlm.nih.gov/record/ui?ui=D064406
27,D000074243,Immune Reconstitution,"Regeneration of normal immune function after immune depleting procedures or infections (e.g., HEMATOPOIETIC STEM CELL TRANSPLANTATION). Delayed and incomplete reconstitution of the ADAPTIVE IMMUNE system in particular involving T-CELLS is associated with increase or relapse of infection.",https://meshb.nlm.nih.gov/record/ui?ui=D000074243
28,D054019,Immune Reconstitution Inflammatory Syndrome,Exuberant inflammatory response towards a previously acquired or undiagnosed opportunistic infection. It is frequently seen in AIDS patients following antiretroviral treatment.,https://meshb.nlm.nih.gov/record/ui?ui=D054019
29,D003249,Constitution and Bylaws,The fundamental principles and laws adopted by an organization for the regulation and governing of its affairs.,https://meshb.nlm.nih.gov/record/ui?ui=D003249
30,D007498,Iris,"The most anterior portion of the uveal layer, separating the anterior chamber from the posterior. It consists of two layers - the stroma and the pigmented epithelium. Color of the iris depends on the amount of melanin in the stroma on reflection from the pigmented epithelium.",https://meshb.nlm.nih.gov/record/ui?ui=D007498
31,D031323,Iris Plant,"A plant genus of the family IRIDACEAE that contains IRIP, a type-1 ribosome-inactivating protein, and iridals (TRITERPENES).",https://meshb.nlm.nih.gov/record/ui?ui=D031323
32,D007499,Iris Diseases,"Diseases, dysfunctions, or disorders of or located in the iris.",https://meshb.nlm.nih.gov/record/ui?ui=D007499
34,D057566,Self Report,"Method for obtaining information through verbal responses, written or oral, from subjects.",https://meshb.nlm.nih.gov/record/ui?ui=D057566
35,D056164,Teaching Rounds,Systematic discussions and TEACHING conducted in HOSPITALS and HEALTHCARE facilities related to patient care.,https://meshb.nlm.nih.gov/record/ui?ui=D056164
