,MeSH Unique ID,MeSH Heading,ScopeNote,MeSHBrowserLink
0,D008659,Metabolic Diseases,"Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",https://meshb.nlm.nih.gov/record/ui?ui=D008659
1,D013312,"Stress, Physiological","The unfavorable effect of environmental factors (stressors) on the physiological functions of an organism. Prolonged unresolved physiological stress can affect HOMEOSTASIS of the organism, and may lead to damaging or pathological conditions.",https://meshb.nlm.nih.gov/record/ui?ui=D013312
2,D024821,Metabolic Syndrome,A cluster of symptoms that are risk factors for CARDIOVASCULAR DISEASES and TYPE 2 DIABETES MELLITUS. The major components of metabolic syndrome include ABDOMINAL OBESITY; atherogenic DYSLIPIDEMIA; HYPERTENSION; HYPERGLYCEMIA; INSULIN RESISTANCE; a proinflammatory state; and a prothrombotic (THROMBOSIS) state.,https://meshb.nlm.nih.gov/record/ui?ui=D024821
3,D008660,Metabolism,The chemical reactions in living organisms by which energy is provided for vital processes and activities and new material is assimilated.,https://meshb.nlm.nih.gov/record/ui?ui=D008660
4,D065767,"Activation, Metabolic",The conversion of an exogenous substance by a biological system resulting in the production on an active metabolite.,https://meshb.nlm.nih.gov/record/ui?ui=D065767
5,D015431,Weight Loss,Decrease in existing BODY WEIGHT.,https://meshb.nlm.nih.gov/record/ui?ui=D015431
6,D011634,Public Health,"Branch of medicine concerned with the prevention and control of disease and disability, and the promotion of physical and mental health of the population on the international, national, state, or municipal level.",https://meshb.nlm.nih.gov/record/ui?ui=D011634
7,D009765,Obesity,"A status with BODY WEIGHT that is grossly above the acceptable or desirable weight, usually due to accumulation of excess FATS in the body. The standards may vary with age, sex, genetic or cultural background. In the BODY MASS INDEX, a BMI greater than 30.0 kg/m2 is considered obese, and a BMI greater than 40.0 kg/m2 is considered morbidly obese (MORBID OBESITY).",https://meshb.nlm.nih.gov/record/ui?ui=D009765
8,D056128,"Obesity, Abdominal",Obesity due to excessive deposition of INTRA-ABDOMINAL FAT in the abdominal VISCERA and OMENTUM.,https://meshb.nlm.nih.gov/record/ui?ui=D056128
9,D000079322,Weight Prejudice,Negative attitudes towards and beliefs about others because of their weight. These negative attitudes are manifested by stereotypes and/or prejudice towards people with weight over or under a cultural norm.,https://meshb.nlm.nih.gov/record/ui?ui=D000079322
10,D063766,Pediatric Obesity,"BODY MASS INDEX in children (ages 2-12) and in adolescents (ages 13-18) that is grossly above the recommended cut-off for a specific age and sex. For infants less than 2 years of age, obesity is determined based on standard weight-for-length percentile measures.",https://meshb.nlm.nih.gov/record/ui?ui=D063766
11,D000079262,"Obesity, Maternal",BODY MASS INDEX in PREGNANT WOMEN that is excessively above the recommended cut-off.,https://meshb.nlm.nih.gov/record/ui?ui=D000079262
12,D000890,Anti-Infective Agents,"Generically, any agent that destroys microbes. However, usage of the term is increasingly being confined to agents that prevent or reduce the transmission of SEXUALLY TRANSMITTED DISEASES.",https://meshb.nlm.nih.gov/record/ui?ui=D000890
13,D023181,Antimicrobial Cationic Peptides,"Small cationic peptides that are an important component, in most species, of early innate and induced defenses against invading microbes. In animals they are found on mucosal surfaces, within phagocytic granules, and on the surface of the body. They are also found in insects and plants. Among others, this group includes the DEFENSINS, protegrins, tachyplesins, and thionins. They displace DIVALENT CATIONS from phosphate groups of MEMBRANE LIPIDS leading to disruption of the membrane.",https://meshb.nlm.nih.gov/record/ui?ui=D023181
14,D004352,"Drug Resistance, Microbial","The ability of microorganisms, especially bacteria, to resist or to become tolerant to chemotherapeutic agents, antimicrobial agents, or antibiotics. This resistance may be acquired through gene mutation or foreign DNA in transmissible plasmids (R FACTORS).",https://meshb.nlm.nih.gov/record/ui?ui=D004352
15,D000073602,Antimicrobial Stewardship,"Programs and guidelines for selecting optimal ANTI-INFECTIVE AGENTS regimens in an effort to maintain antibiotic efficacy, reduce CROSS INFECTION related to ANTIBIOTIC RESISTANCE while managing satisfactory clinical and economic outcomes.",https://meshb.nlm.nih.gov/record/ui?ui=D000073602
16,D009504,Neutrophils,Immature neutrophils.,https://meshb.nlm.nih.gov/record/ui?ui=D009504
17,D053146,Myeloblastin,A polymorphonuclear leukocyte-derived serine protease that degrades proteins such as ELASTIN; FIBRONECTIN; LAMININ; VITRONECTIN; and COLLAGEN. It is named for its ability to control myeloid cell growth and differentiation.,https://meshb.nlm.nih.gov/record/ui?ui=D053146
18,D019272,Leukocyte Elastase,"An enzyme that catalyzes the hydrolysis of proteins, including elastin. It cleaves preferentially bonds at the carboxyl side of Ala and Val, with greater specificity for Ala. EC 3.4.21.37.",https://meshb.nlm.nih.gov/record/ui?ui=D019272
19,D018375,Neutrophil Activation,"The process in which the neutrophil is stimulated by diverse substances, resulting in degranulation and/or generation of reactive oxygen products, and culminating in the destruction of invading pathogens. The stimulatory substances, including opsonized particles, immune complexes, and chemotactic factors, bind to specific cell-surface receptors on the neutrophil.",https://meshb.nlm.nih.gov/record/ui?ui=D018375
20,D020784,Matrix Metalloproteinase 8,"A member of the MATRIX METALLOPROTEINASES that cleaves triple-helical COLLAGEN types I, II, and III.",https://meshb.nlm.nih.gov/record/ui?ui=D020784
21,D008214,Lymphocytes,"White blood cells formed in the body's lymphoid tissue. The nucleus is round or ovoid with coarse, irregularly clumped chromatin while the cytoplasm is typically pale blue with azurophilic (if any) granules. Most lymphocytes can be classified as either T or B (with subpopulations of each), or NATURAL KILLER CELLS.",https://meshb.nlm.nih.gov/record/ui?ui=D008214
22,D018414,CD8-Positive T-Lymphocytes,"A critical subpopulation of regulatory T-lymphocytes involved in MHC Class I-restricted interactions. They include both cytotoxic T-lymphocytes (T-LYMPHOCYTES, CYTOTOXIC) and CD8+ suppressor T-lymphocytes.",https://meshb.nlm.nih.gov/record/ui?ui=D018414
23,D008213,Lymphocyte Activation,"Morphologic alteration of small B LYMPHOCYTES or T LYMPHOCYTES in culture into large blast-like cells able to synthesize DNA and RNA and to divide mitotically. It is induced by INTERLEUKINS; MITOGENS such as PHYTOHEMAGGLUTININS, and by specific ANTIGENS. It may also occur in vivo as in GRAFT REJECTION.",https://meshb.nlm.nih.gov/record/ui?ui=D008213
29,D005743,Gastrectomy,"Excision of the whole (total gastrectomy) or part (subtotal gastrectomy, partial gastrectomy, gastric resection) of the stomach. (Dorland, 28th ed)",https://meshb.nlm.nih.gov/record/ui?ui=D005743
30,D005774,Gastrostomy,Creation of an artificial external opening into the stomach for nutritional support or gastrointestinal compression.,https://meshb.nlm.nih.gov/record/ui?ui=D005774
31,D004639,Emetics,"Agents that cause vomiting. They may act directly on the gastrointestinal tract, bringing about emesis through local irritant effects, or indirectly, through their effects on the chemoreceptor trigger zone in the postremal area near the medulla.",https://meshb.nlm.nih.gov/record/ui?ui=D004639
32,D064420,Drug-Related Side Effects and Adverse Reactions,"Disorders that result from the intended use of PHARMACEUTICAL PREPARATIONS. Included in this heading are a broad variety of chemically-induced adverse conditions due to toxicity, DRUG INTERACTIONS, and metabolic effects of pharmaceuticals.",https://meshb.nlm.nih.gov/record/ui?ui=D064420
34,D058186,Acute Kidney Injury,Conditions in which the function of KIDNEYS deteriorates suddenly in a matter of days or even hours. It is characterized by the sudden drop in GLOMERULAR FILTRATION RATE.,https://meshb.nlm.nih.gov/record/ui?ui=D058186
35,D017209,Apoptosis,Physiological forms of regulated cell death that occur during growth and development and tissue turnover.,https://meshb.nlm.nih.gov/record/ui?ui=D017209
36,D053478,Apoptosomes,Multimeric protein complexes formed in the CYTOSOL that play a role in the activation of APOPTOSIS. They can occur when MITOCHONDRIA become damaged due to cell stress and release CYTOCHROME C. Cytosolic cytochrome C associates with APOPTOTIC PROTEASE-ACTIVATING FACTOR 1 to form the apoptosomal protein complex. The apoptosome signals apoptosis by binding to and activating specific INITIATOR CASPASES such as CASPASE 9.,https://meshb.nlm.nih.gov/record/ui?ui=D053478
37,D010587,Phagocytosis,"The engulfing and degradation of microorganisms; other cells that are dead, dying, or pathogenic; and foreign particles by phagocytic cells (PHAGOCYTES).",https://meshb.nlm.nih.gov/record/ui?ui=D010587
38,D057899,Cytophagocytosis,The engulfment and degradation of cells by other cells.,https://meshb.nlm.nih.gov/record/ui?ui=D057899
39,D001343,Autophagy,Lysosomal degradation of ENDOPLASMIC RETICULUM by MACROAUTOPHAGY or MICROAUTOPHAGY.,https://meshb.nlm.nih.gov/record/ui?ui=D001343
40,D010586,Phagocytes,Cells that can carry out the process of PHAGOCYTOSIS.,https://meshb.nlm.nih.gov/record/ui?ui=D010586
42,D051017,Apoptosis Regulatory Proteins,A large group of proteins that control APOPTOSIS. This family of proteins includes many ONCOGENE PROTEINS as well as a wide variety of classes of INTRACELLULAR SIGNALING PEPTIDES AND PROTEINS such as CASPASES.,https://meshb.nlm.nih.gov/record/ui?ui=D051017
43,D061026,Programmed Cell Death 1 Receptor,An inhibitory T-lymphocyte receptor that has specificity for CD274 ANTIGEN and PROGRAMMED CELL DEATH 1 LIGAND 2 PROTEIN. Signaling by the receptor limits T cell proliferation and INTERFERON GAMMA synthesis. The receptor also may play an essential role in the regulatory pathway that induces PERIPHERAL TOLERANCE.,https://meshb.nlm.nih.gov/record/ui?ui=D061026
44,D000080549,Autophagic Cell Death,"A major activation of the autophagic pathway, characterized by massive accumulation of AUTOPHAGOSOMES and CELL DEATH.",https://meshb.nlm.nih.gov/record/ui?ui=D000080549
45,D061027,Programmed Cell Death 1 Ligand 2 Protein,"A costimulatory B7 antigen that has specificity for the T-CELL receptor PROGRAMMED CELL DEATH 1 RECEPTOR. It is closely-related to CD274 antigen; however, its expression is restricted to DENDRITIC CELLS and activated MACROPHAGES.",https://meshb.nlm.nih.gov/record/ui?ui=D061027
46,D002477,Cells,"The fundamental, structural, and functional units or subunits of living organisms. They are composed of CYTOPLASM containing various ORGANELLES and a CELL MEMBRANE boundary.",https://meshb.nlm.nih.gov/record/ui?ui=D002477
48,D058070,Asymptomatic Diseases,Diseases that do not exhibit symptoms.,https://meshb.nlm.nih.gov/record/ui?ui=D058070
